ConvId,utterance0,utterance1,utterance2,utterance3,utterance4,utterance5,utterance6,utterance7,utterance8,utterance9,utterance10,utterance11,utterance12,utterance13,utterance14,utterance15,utterance16,utterance17,utterance18,utterance19,utterance20,utterance21,understanding,task-completion,interest-arousal,efficiency,dialogue-overall,justification-text
25,USER	hi,"SYSTEM	Hey I'm a big science fiction fan.Did you see The Hunger Games.I really like the ""The Hunger Games  (2012)""",USER	thats cool,SYSTEM	Do you like any science fiction?I'm always looking for new stuff.,"USER	Yes, ""Event Horizon  (1997)"" is one for me","SYSTEM	What do you think of the new ""Star Wars: Episode VIII – The Last Jedi (2017)?""",USER	I liked it. I really didn't know what to say with the field scene,"SYSTEM	I liked it as well. But it wasn't as good as ""Star Wars: Episode I – The Phantom Menace (1999)"" .",USER	I just don't know.,SYSTEM	Is there anything coming out that you are looking forward too?,"USER	No, not really. I'm getting a bit movie water logged, by the options not by the viewing","SYSTEM	I think that ""Avengers: Infinity War (2018)"" looks great.",USER	Like.. 'cmon.. slow down and specialize.. like either make it or not but constantly streaming new movies all the time that are the most important is dumb,SYSTEM	Its true. There is a lot of stuff being made.,USER	You go to the supermarket they have the same damn food there.. but movies.. am I suppose to think these are new.. ugh!,SYSTEM	Some stories get retold over and over.,"USER	Yes and they ruin it example ""The Amazing Spider-Man  (2012)"" Just stick with the thing okay?","SYSTEM	That story has been told, in my opinion. There are other stories to tell. It's been great chatting with you.",,,,,2.0,2.0,1.0,0.0,2.0,The user never agreed to any of the systems utterances and there weren't very many recommended movies by the system.
25,USER	hi,"SYSTEM	Hey I'm a big science fiction fan.Did you see The Hunger Games.I really like the ""The Hunger Games  (2012)""",USER	thats cool,SYSTEM	Do you like any science fiction?I'm always looking for new stuff.,"USER	Yes, ""Event Horizon  (1997)"" is one for me","SYSTEM	What do you think of the new ""Star Wars: Episode VIII – The Last Jedi (2017)?""",USER	I liked it. I really didn't know what to say with the field scene,"SYSTEM	I liked it as well. But it wasn't as good as ""Star Wars: Episode I – The Phantom Menace (1999)"" .",USER	I just don't know.,SYSTEM	Is there anything coming out that you are looking forward too?,"USER	No, not really. I'm getting a bit movie water logged, by the options not by the viewing","SYSTEM	I think that ""Avengers: Infinity War (2018)"" looks great.",USER	Like.. 'cmon.. slow down and specialize.. like either make it or not but constantly streaming new movies all the time that are the most important is dumb,SYSTEM	Its true. There is a lot of stuff being made.,USER	You go to the supermarket they have the same damn food there.. but movies.. am I suppose to think these are new.. ugh!,SYSTEM	Some stories get retold over and over.,"USER	Yes and they ruin it example ""The Amazing Spider-Man  (2012)"" Just stick with the thing okay?","SYSTEM	That story has been told, in my opinion. There are other stories to tell. It's been great chatting with you.",,,,,2.0,1.0,0.0,0.0,2.0,The system fails to recommend any movies that the user is interested in watching.
25,USER	hi,"SYSTEM	Hey I'm a big science fiction fan.Did you see The Hunger Games.I really like the ""The Hunger Games  (2012)""",USER	thats cool,SYSTEM	Do you like any science fiction?I'm always looking for new stuff.,"USER	Yes, ""Event Horizon  (1997)"" is one for me","SYSTEM	What do you think of the new ""Star Wars: Episode VIII – The Last Jedi (2017)?""",USER	I liked it. I really didn't know what to say with the field scene,"SYSTEM	I liked it as well. But it wasn't as good as ""Star Wars: Episode I – The Phantom Menace (1999)"" .",USER	I just don't know.,SYSTEM	Is there anything coming out that you are looking forward too?,"USER	No, not really. I'm getting a bit movie water logged, by the options not by the viewing","SYSTEM	I think that ""Avengers: Infinity War (2018)"" looks great.",USER	Like.. 'cmon.. slow down and specialize.. like either make it or not but constantly streaming new movies all the time that are the most important is dumb,SYSTEM	Its true. There is a lot of stuff being made.,USER	You go to the supermarket they have the same damn food there.. but movies.. am I suppose to think these are new.. ugh!,SYSTEM	Some stories get retold over and over.,"USER	Yes and they ruin it example ""The Amazing Spider-Man  (2012)"" Just stick with the thing okay?","SYSTEM	That story has been told, in my opinion. There are other stories to tell. It's been great chatting with you.",,,,,2.0,2.0,2.0,0.0,3.0,"The system was good at chit chat, but never acrtually made a recommendation to the user."
25,USER	hi,"SYSTEM	Hey I'm a big science fiction fan.Did you see The Hunger Games.I really like the ""The Hunger Games  (2012)""",USER	thats cool,SYSTEM	Do you like any science fiction?I'm always looking for new stuff.,"USER	Yes, ""Event Horizon  (1997)"" is one for me","SYSTEM	What do you think of the new ""Star Wars: Episode VIII – The Last Jedi (2017)?""",USER	I liked it. I really didn't know what to say with the field scene,"SYSTEM	I liked it as well. But it wasn't as good as ""Star Wars: Episode I – The Phantom Menace (1999)"" .",USER	I just don't know.,SYSTEM	Is there anything coming out that you are looking forward too?,"USER	No, not really. I'm getting a bit movie water logged, by the options not by the viewing","SYSTEM	I think that ""Avengers: Infinity War (2018)"" looks great.",USER	Like.. 'cmon.. slow down and specialize.. like either make it or not but constantly streaming new movies all the time that are the most important is dumb,SYSTEM	Its true. There is a lot of stuff being made.,USER	You go to the supermarket they have the same damn food there.. but movies.. am I suppose to think these are new.. ugh!,SYSTEM	Some stories get retold over and over.,"USER	Yes and they ruin it example ""The Amazing Spider-Man  (2012)"" Just stick with the thing okay?","SYSTEM	That story has been told, in my opinion. There are other stories to tell. It's been great chatting with you.",,,,,3.0,2.0,2.0,1.0,3.0,"While the system recommends a movie liked by the user, most of the conversation is chit chat."
JN,SYSTEM	Hello.,"USER	hello I'd like to watch movies with strong female leads and not comedy, but proper drama","SYSTEM	I have a great movie for you to watch with a strong female lead.The movie is titled ""Black Swan  (2010)"" with Natalie Portman, it's an amazing film.Or you could watch ""Kill Bill"" with Uma Thurman, it's a very good movie.","USER	oh I've seen it, it's a horror show! I've also seen both ""Kill Bill"" they are good love Uma","SYSTEM	Oh, I know, I saw a really good movie directed by David Lynch called ""Mulholland Drive  (2001)"" it stars Naomi Watts","USER	oh I've also seen that, also a bit creepy, since it's lynch got anything else? perhaps more uplifting?","SYSTEM	An even better film would be ""The Silence of the Lambs  (1991)"" with Jodie Foster","USER	lol, true, but also creepy I was thinking more along the lines of ""Amelia  (2009)""","SYSTEM	""Chinatown  (1974)"" with Faye Dunaway is a great film, you should watch that.",USER	I thought a guy is the lead? jack nicholson?,SYSTEM	Not in my opinion.She steals the spotlight!,"USER lol, okay, cool, thanks I will check it out thank you, bye!",,,,,,,,,,,2.0,2.0,2.0,1.0,4.0,"She agrees liking some of the movies, but she is hesitant. In the end she says she'll check out the recommendation later, but I don't feel that was a strong sentiment at all."
JN,SYSTEM	Hello.,"USER	hello I'd like to watch movies with strong female leads and not comedy, but proper drama","SYSTEM	I have a great movie for you to watch with a strong female lead.The movie is titled ""Black Swan  (2010)"" with Natalie Portman, it's an amazing film.Or you could watch ""Kill Bill"" with Uma Thurman, it's a very good movie.","USER	oh I've seen it, it's a horror show! I've also seen both ""Kill Bill"" they are good love Uma","SYSTEM	Oh, I know, I saw a really good movie directed by David Lynch called ""Mulholland Drive  (2001)"" it stars Naomi Watts","USER	oh I've also seen that, also a bit creepy, since it's lynch got anything else? perhaps more uplifting?","SYSTEM	An even better film would be ""The Silence of the Lambs  (1991)"" with Jodie Foster","USER	lol, true, but also creepy I was thinking more along the lines of ""Amelia  (2009)""","SYSTEM	""Chinatown  (1974)"" with Faye Dunaway is a great film, you should watch that.",USER	I thought a guy is the lead? jack nicholson?,SYSTEM	Not in my opinion.She steals the spotlight!,"USER lol, okay, cool, thanks I will check it out thank you, bye!",,,,,,,,,,,3.0,3.0,1.0,1.0,5.0,The system was engaging and gave good recommendations that were relevant to the conversation.
JN,SYSTEM	Hello.,"USER	hello I'd like to watch movies with strong female leads and not comedy, but proper drama","SYSTEM	I have a great movie for you to watch with a strong female lead.The movie is titled ""Black Swan  (2010)"" with Natalie Portman, it's an amazing film.Or you could watch ""Kill Bill"" with Uma Thurman, it's a very good movie.","USER	oh I've seen it, it's a horror show! I've also seen both ""Kill Bill"" they are good love Uma","SYSTEM	Oh, I know, I saw a really good movie directed by David Lynch called ""Mulholland Drive  (2001)"" it stars Naomi Watts","USER	oh I've also seen that, also a bit creepy, since it's lynch got anything else? perhaps more uplifting?","SYSTEM	An even better film would be ""The Silence of the Lambs  (1991)"" with Jodie Foster","USER	lol, true, but also creepy I was thinking more along the lines of ""Amelia  (2009)""","SYSTEM	""Chinatown  (1974)"" with Faye Dunaway is a great film, you should watch that.",USER	I thought a guy is the lead? jack nicholson?,SYSTEM	Not in my opinion.She steals the spotlight!,"USER lol, okay, cool, thanks I will check it out thank you, bye!",,,,,,,,,,,3.0,3.0,3.0,1.0,5.0,The system generates movies that the user has seen and enjoyed and finally manages to recommend a movie that the user is interested to check out.
JN,SYSTEM	Hello.,"USER	hello I'd like to watch movies with strong female leads and not comedy, but proper drama","SYSTEM	I have a great movie for you to watch with a strong female lead.The movie is titled ""Black Swan  (2010)"" with Natalie Portman, it's an amazing film.Or you could watch ""Kill Bill"" with Uma Thurman, it's a very good movie.","USER	oh I've seen it, it's a horror show! I've also seen both ""Kill Bill"" they are good love Uma","SYSTEM	Oh, I know, I saw a really good movie directed by David Lynch called ""Mulholland Drive  (2001)"" it stars Naomi Watts","USER	oh I've also seen that, also a bit creepy, since it's lynch got anything else? perhaps more uplifting?","SYSTEM	An even better film would be ""The Silence of the Lambs  (1991)"" with Jodie Foster","USER	lol, true, but also creepy I was thinking more along the lines of ""Amelia  (2009)""","SYSTEM	""Chinatown  (1974)"" with Faye Dunaway is a great film, you should watch that.",USER	I thought a guy is the lead? jack nicholson?,SYSTEM	Not in my opinion.She steals the spotlight!,"USER lol, okay, cool, thanks I will check it out thank you, bye!",,,,,,,,,,,3.0,3.0,3.0,1.0,5.0,"The system took a couple tries to get the user's preference down, but overall the user did agree to check out the film chinatown."
00,USER     hello how are you today,SYSTEM	Hi doing well you?,USER	I am interested in some new movies. I'm doing good,SYSTEM	Cool! What types do you like?,USER	I have no preference,"SYSTEM	I recently saw ""Black Panther (2018)"" and ""The Post (2017)"". Both were good I also recently liked ""Thor: Ragnarok (2017)""","USER	I have heard of them but, have not seen them, they sound really good",SYSTEM	Yes they are good.,"USER	I have not seen ""Thor: Ragnarok (2017)"" either","SYSTEM	I also liked the new ""Star Wars: Episode VIII – The Last Jedi (2017)""",USER	I really dont like those type of movies if i can watch something else,"SYSTEM	Oh got it. How about ""Jumanji  (2017)"" ?",USER	I loved that movie,SYSTEM	That was actually really funny! haha,SYSTEM	Have a good one!,,,,,,,,2.0,2.0,2.0,0.0,3.0,"The user did not give the system much to work with, but it came up with a good recommendation at the end. The only problem being that the user has already watched the recommended film."
00,USER     hello how are you today,SYSTEM	Hi doing well you?,USER	I am interested in some new movies. I'm doing good,SYSTEM	Cool! What types do you like?,USER	I have no preference,"SYSTEM	I recently saw ""Black Panther (2018)"" and ""The Post (2017)"". Both were good I also recently liked ""Thor: Ragnarok (2017)""","USER	I have heard of them but, have not seen them, they sound really good",SYSTEM	Yes they are good.,"USER	I have not seen ""Thor: Ragnarok (2017)"" either","SYSTEM	I also liked the new ""Star Wars: Episode VIII – The Last Jedi (2017)""",USER	I really dont like those type of movies if i can watch something else,"SYSTEM	Oh got it. How about ""Jumanji  (2017)"" ?",USER	I loved that movie,SYSTEM	That was actually really funny! haha,SYSTEM	Have a good one!,,,,,,,,3.0,2.0,2.0,1.0,4.0,The system was engaging and gave good recommendations that were relevant to the conversation and in the end made a recommendation that the user loved.
00,USER     hello how are you today,SYSTEM	Hi doing well you?,USER	I am interested in some new movies. I'm doing good,SYSTEM	Cool! What types do you like?,USER	I have no preference,"SYSTEM	I recently saw ""Black Panther (2018)"" and ""The Post (2017)"". Both were good I also recently liked ""Thor: Ragnarok (2017)""","USER	I have heard of them but, have not seen them, they sound really good",SYSTEM	Yes they are good.,"USER	I have not seen ""Thor: Ragnarok (2017)"" either","SYSTEM	I also liked the new ""Star Wars: Episode VIII – The Last Jedi (2017)""",USER	I really dont like those type of movies if i can watch something else,"SYSTEM	Oh got it. How about ""Jumanji  (2017)"" ?",USER	I loved that movie,SYSTEM	That was actually really funny! haha,SYSTEM	Have a good one!,,,,,,,,3.0,3.0,2.0,1.0,4.0,User had already seen the movie and liked it. No new movies were given in this exchange.
00,USER     hello how are you today,SYSTEM	Hi doing well you?,USER	I am interested in some new movies. I'm doing good,SYSTEM	Cool! What types do you like?,USER	I have no preference,"SYSTEM	I recently saw ""Black Panther (2018)"" and ""The Post (2017)"". Both were good I also recently liked ""Thor: Ragnarok (2017)""","USER	I have heard of them but, have not seen them, they sound really good",SYSTEM	Yes they are good.,"USER	I have not seen ""Thor: Ragnarok (2017)"" either","SYSTEM	I also liked the new ""Star Wars: Episode VIII – The Last Jedi (2017)""",USER	I really dont like those type of movies if i can watch something else,"SYSTEM	Oh got it. How about ""Jumanji  (2017)"" ?",USER	I loved that movie,SYSTEM	That was actually really funny! haha,SYSTEM	Have a good one!,,,,,,,,3.0,3.0,3.0,1.0,5.0,The system generally makes recommendations that the user enjoys
OI,"USER	 Howdy! Want to help me find a god movie oops, good i meant","SYSTEM	I knew what you meant.I think, lol",USER	lil lol,SYSTEM	what genres are you into,"USER	i like stuff like ""Reservoir Dogs (1992)"" and ""Goodfellas (1990)"" got any suggestions for things like that?","SYSTEM	I see. What about ""The Usual Suspects (1995)"" ?",USER	Kaiser Soze...although now that has a bit of a tainted experience with Kevin Spacey I do love that movie..,SYSTEM	Yeah. Hated to hear the latest news about his past. Sucks. But he's a phenomenal actor.,USER	i agree...one of the best. do yu have another suggestions for something similiar to those,"SYSTEM	Have you seen ""Seven"" or ""L.A. Confidential  (1997)"" ? Spacey's in both",USER	I have seen Seven..one of his best performances. unrecognizable! I didn't see La Confidential though Maybe I will heck that one out my spelling is atrocious today,"SYSTEM	Mine was like that earlier, lol","USER	haha, thanks for your suggestion. i am happy with that",,,,,,,,,,3.0,2.0,1.0,0.0,4.0,The system mentions many movies the user liked and also gave them a movie that they are curious about and said they might watch it.
OI,"USER	 Howdy! Want to help me find a god movie oops, good i meant","SYSTEM	I knew what you meant.I think, lol",USER	lil lol,SYSTEM	what genres are you into,"USER	i like stuff like ""Reservoir Dogs (1992)"" and ""Goodfellas (1990)"" got any suggestions for things like that?","SYSTEM	I see. What about ""The Usual Suspects (1995)"" ?",USER	Kaiser Soze...although now that has a bit of a tainted experience with Kevin Spacey I do love that movie..,SYSTEM	Yeah. Hated to hear the latest news about his past. Sucks. But he's a phenomenal actor.,USER	i agree...one of the best. do yu have another suggestions for something similiar to those,"SYSTEM	Have you seen ""Seven"" or ""L.A. Confidential  (1997)"" ? Spacey's in both",USER	I have seen Seven..one of his best performances. unrecognizable! I didn't see La Confidential though Maybe I will heck that one out my spelling is atrocious today,"SYSTEM	Mine was like that earlier, lol","USER	haha, thanks for your suggestion. i am happy with that",,,,,,,,,,3.0,3.0,3.0,1.0,4.0,"The system ultimately understood exactly what the user wanted, but it took it's time."
OI,"USER	 Howdy! Want to help me find a god movie oops, good i meant","SYSTEM	I knew what you meant.I think, lol",USER	lil lol,SYSTEM	what genres are you into,"USER	i like stuff like ""Reservoir Dogs (1992)"" and ""Goodfellas (1990)"" got any suggestions for things like that?","SYSTEM	I see. What about ""The Usual Suspects (1995)"" ?",USER	Kaiser Soze...although now that has a bit of a tainted experience with Kevin Spacey I do love that movie..,SYSTEM	Yeah. Hated to hear the latest news about his past. Sucks. But he's a phenomenal actor.,USER	i agree...one of the best. do yu have another suggestions for something similiar to those,"SYSTEM	Have you seen ""Seven"" or ""L.A. Confidential  (1997)"" ? Spacey's in both",USER	I have seen Seven..one of his best performances. unrecognizable! I didn't see La Confidential though Maybe I will heck that one out my spelling is atrocious today,"SYSTEM	Mine was like that earlier, lol","USER	haha, thanks for your suggestion. i am happy with that",,,,,,,,,,3.0,3.0,1.0,1.0,5.0,The system was engaging and gave good recommendations that were relevant to the conversation and in the end the user says they are happy with the suggestion.
OI,"USER	 Howdy! Want to help me find a god movie oops, good i meant","SYSTEM	I knew what you meant.I think, lol",USER	lil lol,SYSTEM	what genres are you into,"USER	i like stuff like ""Reservoir Dogs (1992)"" and ""Goodfellas (1990)"" got any suggestions for things like that?","SYSTEM	I see. What about ""The Usual Suspects (1995)"" ?",USER	Kaiser Soze...although now that has a bit of a tainted experience with Kevin Spacey I do love that movie..,SYSTEM	Yeah. Hated to hear the latest news about his past. Sucks. But he's a phenomenal actor.,USER	i agree...one of the best. do yu have another suggestions for something similiar to those,"SYSTEM	Have you seen ""Seven"" or ""L.A. Confidential  (1997)"" ? Spacey's in both",USER	I have seen Seven..one of his best performances. unrecognizable! I didn't see La Confidential though Maybe I will heck that one out my spelling is atrocious today,"SYSTEM	Mine was like that earlier, lol","USER	haha, thanks for your suggestion. i am happy with that",,,,,,,,,,3.0,3.0,2.0,1.0,4.0,"User mentioned that they might watch the recommendation that was given, which is a good sign."
IB,"SYSTEM	Hey. What movies do you like? Have a feeling you might be an ""Inception (2010)"" guy, lots of people are.","USER	I like ""Pulp Fiction (1994)"" I don't tend to watch newer movies","SYSTEM	Nice. That was a pretty decent one. Ever see ""Natural Born Killers (1994)?""","USER	Though recently I did see ""Star Wars: Episode VIII – The Last Jedi (2017)."" No I haven't. Is it any good?","SYSTEM	It's pretty decent. Did you like the last Star Wars? ""Star Wars: Episode III – Revenge of the Sith (2005)"" ?","USER	What would you recommend as far as newer movies are concerned? I did, I don't like Lucas' prequels","SYSTEM	I would recommend ""The Shape of Water  (2017)."" Pretty well liked arthouse film.",USER	I will look into that.,SYSTEM	Thank you. Goodbye.,,,,,,,,,,,,,,3.0,3.0,2.0,1.0,4.0,"The system reccomends something based on their initial interest (Older 90's movie related to pulp fiction), and then makes a newer reccomendation when the user asks for a modern movie. I think the bot did well"
IB,"SYSTEM	Hey. What movies do you like? Have a feeling you might be an ""Inception (2010)"" guy, lots of people are.","USER	I like ""Pulp Fiction (1994)"" I don't tend to watch newer movies","SYSTEM	Nice. That was a pretty decent one. Ever see ""Natural Born Killers (1994)?""","USER	Though recently I did see ""Star Wars: Episode VIII – The Last Jedi (2017)."" No I haven't. Is it any good?","SYSTEM	It's pretty decent. Did you like the last Star Wars? ""Star Wars: Episode III – Revenge of the Sith (2005)"" ?","USER	What would you recommend as far as newer movies are concerned? I did, I don't like Lucas' prequels","SYSTEM	I would recommend ""The Shape of Water  (2017)."" Pretty well liked arthouse film.",USER	I will look into that.,SYSTEM	Thank you. Goodbye.,,,,,,,,,,,,,,3.0,2.0,2.0,0.0,3.0,"The system ultimately made a recommendation that piqued the user interest, but that interest seemed mild at best."
IB,"SYSTEM	Hey. What movies do you like? Have a feeling you might be an ""Inception (2010)"" guy, lots of people are.","USER	I like ""Pulp Fiction (1994)"" I don't tend to watch newer movies","SYSTEM	Nice. That was a pretty decent one. Ever see ""Natural Born Killers (1994)?""","USER	Though recently I did see ""Star Wars: Episode VIII – The Last Jedi (2017)."" No I haven't. Is it any good?","SYSTEM	It's pretty decent. Did you like the last Star Wars? ""Star Wars: Episode III – Revenge of the Sith (2005)"" ?","USER	What would you recommend as far as newer movies are concerned? I did, I don't like Lucas' prequels","SYSTEM	I would recommend ""The Shape of Water  (2017)."" Pretty well liked arthouse film.",USER	I will look into that.,SYSTEM	Thank you. Goodbye.,,,,,,,,,,,,,,3.0,3.0,3.0,0.0,4.0,"It takes a while, but the system finally recommends a movie that the user is interested to check out."
IB,"SYSTEM	Hey. What movies do you like? Have a feeling you might be an ""Inception (2010)"" guy, lots of people are.","USER	I like ""Pulp Fiction (1994)"" I don't tend to watch newer movies","SYSTEM	Nice. That was a pretty decent one. Ever see ""Natural Born Killers (1994)?""","USER	Though recently I did see ""Star Wars: Episode VIII – The Last Jedi (2017)."" No I haven't. Is it any good?","SYSTEM	It's pretty decent. Did you like the last Star Wars? ""Star Wars: Episode III – Revenge of the Sith (2005)"" ?","USER	What would you recommend as far as newer movies are concerned? I did, I don't like Lucas' prequels","SYSTEM	I would recommend ""The Shape of Water  (2017)."" Pretty well liked arthouse film.",USER	I will look into that.,SYSTEM	Thank you. Goodbye.,,,,,,,,,,,,,,3.0,3.0,3.0,1.0,4.0,User will look into the movie recommendation that was made. This is a good sign.
EM,USER     Hi,SYSTEM	Hey!What are you in the mood for?,USER	I am looking for a sci fi.,SYSTEM	ok,"USER	I liked ""The Space Between Us  (2016)"" . I also liked ""Ender's Game  (2013)"" .","SYSTEM	Have you seen ""Guardians of the Galaxy  (2014)"" or ""Blade Runner 2049 (2017)""","USER	I have seen ""Guardians of the Galaxy  (2014)"" but not ""Blade Runner 2049 (2017)"" .","SYSTEM	or ""Geostorm (2017)""","USER	I heard it wasn't as good as the original. No, I haven't heard of that one.",SYSTEM	Well it was pretty good I thought,"USER	Yeah, it's a unique concept.",SYSTEM	You should check out the trailers,USER	Ok. thanks.,SYSTEM	exactly! you are welcome! bye!,USER	Bye,,,,,,,,2.0,2.0,2.0,0.0,3.0,The system was just OK as they made some recommendations and the user did not say if they will watch any. They did show some curiosity to a couple recommendations.
EM,USER     Hi,SYSTEM	Hey!What are you in the mood for?,USER	I am looking for a sci fi.,SYSTEM	ok,"USER	I liked ""The Space Between Us  (2016)"" . I also liked ""Ender's Game  (2013)"" .","SYSTEM	Have you seen ""Guardians of the Galaxy  (2014)"" or ""Blade Runner 2049 (2017)""","USER	I have seen ""Guardians of the Galaxy  (2014)"" but not ""Blade Runner 2049 (2017)"" .","SYSTEM	or ""Geostorm (2017)""","USER	I heard it wasn't as good as the original. No, I haven't heard of that one.",SYSTEM	Well it was pretty good I thought,"USER	Yeah, it's a unique concept.",SYSTEM	You should check out the trailers,USER	Ok. thanks.,SYSTEM	exactly! you are welcome! bye!,USER	Bye,,,,,,,,2.0,1.0,2.0,0.0,2.0,"The system didn't have much to say, and it didn't say much to support the recommendation it gave. Overall, not a very good result."
EM,USER     Hi,SYSTEM	Hey!What are you in the mood for?,USER	I am looking for a sci fi.,SYSTEM	ok,"USER	I liked ""The Space Between Us  (2016)"" . I also liked ""Ender's Game  (2013)"" .","SYSTEM	Have you seen ""Guardians of the Galaxy  (2014)"" or ""Blade Runner 2049 (2017)""","USER	I have seen ""Guardians of the Galaxy  (2014)"" but not ""Blade Runner 2049 (2017)"" .","SYSTEM	or ""Geostorm (2017)""","USER	I heard it wasn't as good as the original. No, I haven't heard of that one.",SYSTEM	Well it was pretty good I thought,"USER	Yeah, it's a unique concept.",SYSTEM	You should check out the trailers,USER	Ok. thanks.,SYSTEM	exactly! you are welcome! bye!,USER	Bye,,,,,,,,2.0,2.0,2.0,0.0,3.0,"The system generated movies and the last movie expressed to the user to watch the trailer which the user agrees to do. Although the user has not agreed to watch the movie yet, they are interested in the trailer for it."
EM,USER     Hi,SYSTEM	Hey!What are you in the mood for?,USER	I am looking for a sci fi.,SYSTEM	ok,"USER	I liked ""The Space Between Us  (2016)"" . I also liked ""Ender's Game  (2013)"" .","SYSTEM	Have you seen ""Guardians of the Galaxy  (2014)"" or ""Blade Runner 2049 (2017)""","USER	I have seen ""Guardians of the Galaxy  (2014)"" but not ""Blade Runner 2049 (2017)"" .","SYSTEM	or ""Geostorm (2017)""","USER	I heard it wasn't as good as the original. No, I haven't heard of that one.",SYSTEM	Well it was pretty good I thought,"USER	Yeah, it's a unique concept.",SYSTEM	You should check out the trailers,USER	Ok. thanks.,SYSTEM	exactly! you are welcome! bye!,USER	Bye,,,,,,,,3.0,2.0,2.0,1.0,4.0,"User agreed to watch the trailer, but did not explicitly say that they will watch the movie. Heard it was good though."
5O,SYSTEM	Hello to you!,"USER	Hello, I'm looking for a drama. Something along the lines of ""Gran Torino (2008)""",SYSTEM	I am not sure what that is. What genre is that?,USER	It's a drama with Clint Eastwood,"SYSTEM	Is it newer? I only know him from a few movies. Like ""Dirty Harry (1971).""Have you seen ""Dirty Harry (1971)"" ?","USER	No, I haven't seen ""Dirty Harry (1971)"" ""Gran Torino (2008)"" is a newer one.","SYSTEM	I will have to check that one out. Is it anything like ""Taken  (2008)"" ?",USER	I don't know. I haven't seen that. It's about an elderly veteran who becomes friends with some teenagers in his neighboorhood.,SYSTEM	I do not think I have seen it.Have you seen any newer movies you like?,"USER	I liked ""Going in Style  (2017)"" . It's a good comedy",SYSTEM	I do not know that one either. Who is in it?,USER	Michael Caine and Morgan Freeman. They play old men who rob a bank and get away with it.,"SYSTEM	I liked Morgan Freeman in ""Invictus  (2009)"" .I do not get to see many new movies when they come out.",USER	I haven't seen that one. I don't either. I usually just watch the ones on TV.,"SYSTEM	Well, I think you gave me some good new movies to look into. I hope you have a good day!",USER	thank you good bye,,,,,,,2.0,1.0,1.0,0.0,3.0,"This one was tough, the system just seems to be getting help from the user on this. LIke they reversed rolls almost. The system mentions a few movies but user don't seem interested one way or another only stating they have or haven't heard of it. The system has no knowledge about the interests on the user yet the user doesn't express negative emotions."
5O,SYSTEM	Hello to you!,"USER	Hello, I'm looking for a drama. Something along the lines of ""Gran Torino (2008)""",SYSTEM	I am not sure what that is. What genre is that?,USER	It's a drama with Clint Eastwood,"SYSTEM	Is it newer? I only know him from a few movies. Like ""Dirty Harry (1971).""Have you seen ""Dirty Harry (1971)"" ?","USER	No, I haven't seen ""Dirty Harry (1971)"" ""Gran Torino (2008)"" is a newer one.","SYSTEM	I will have to check that one out. Is it anything like ""Taken  (2008)"" ?",USER	I don't know. I haven't seen that. It's about an elderly veteran who becomes friends with some teenagers in his neighboorhood.,SYSTEM	I do not think I have seen it.Have you seen any newer movies you like?,"USER	I liked ""Going in Style  (2017)"" . It's a good comedy",SYSTEM	I do not know that one either. Who is in it?,USER	Michael Caine and Morgan Freeman. They play old men who rob a bank and get away with it.,"SYSTEM	I liked Morgan Freeman in ""Invictus  (2009)"" .I do not get to see many new movies when they come out.",USER	I haven't seen that one. I don't either. I usually just watch the ones on TV.,"SYSTEM	Well, I think you gave me some good new movies to look into. I hope you have a good day!",USER	thank you good bye,,,,,,,2.0,2.0,2.0,0.0,2.0,"The system says a few movies but the user doesn't really say anything about them, plus the system clearly doesn't understand the movies the user is bringing up."
5O,SYSTEM	Hello to you!,"USER	Hello, I'm looking for a drama. Something along the lines of ""Gran Torino (2008)""",SYSTEM	I am not sure what that is. What genre is that?,USER	It's a drama with Clint Eastwood,"SYSTEM	Is it newer? I only know him from a few movies. Like ""Dirty Harry (1971).""Have you seen ""Dirty Harry (1971)"" ?","USER	No, I haven't seen ""Dirty Harry (1971)"" ""Gran Torino (2008)"" is a newer one.","SYSTEM	I will have to check that one out. Is it anything like ""Taken  (2008)"" ?",USER	I don't know. I haven't seen that. It's about an elderly veteran who becomes friends with some teenagers in his neighboorhood.,SYSTEM	I do not think I have seen it.Have you seen any newer movies you like?,"USER	I liked ""Going in Style  (2017)"" . It's a good comedy",SYSTEM	I do not know that one either. Who is in it?,USER	Michael Caine and Morgan Freeman. They play old men who rob a bank and get away with it.,"SYSTEM	I liked Morgan Freeman in ""Invictus  (2009)"" .I do not get to see many new movies when they come out.",USER	I haven't seen that one. I don't either. I usually just watch the ones on TV.,"SYSTEM	Well, I think you gave me some good new movies to look into. I hope you have a good day!",USER	thank you good bye,,,,,,,2.0,2.0,1.0,0.0,3.0,The system did not give a recommendation that the user agreed to watch. The system didn't seem to understand some movies in a genre.
