ConvId,utterance0,utterance1,utterance2,utterance3,relevance1,interestingness1,overall1,utterance4,utterance5,utterance6,utterance7,relevance2,interestingness2,overall2,utterance8,utterance9,utterance10,utterance11,relevance3,interestingness3,overall3
86,SYSTEM	Hi Any genre you love?,USER	I love horror Any recommendations?,"SYSTEM	Have you seen ""The Witch  (2015)"" ?","USER	I have, that one was great! I like ""Alien: Covenant (2017)""",4,2,4,"SYSTEM	That was good too.Have you seen ""The Blackcoat's Daughter (2015)"" ?",USER	No what is it about?,SYSTEM	It is hard to explain in short the devil. but really different.,"USER	awesome I will check it out, anything like ""Resident Evil: Apocalypse (2004)"" ?",4,3,4.0,SYSTEM	No not at all.Much more indie and phsycological.,USER	ok cool any other recommendations at this point?,"SYSTEM	Um ""High Tension (2003)"" tensionA french horror.",USER	Awesome I will check it out,4,3,4
FZ,SYSTEM	Hello! What kind of movie are you looking for?,USER	I'm in the mood for a good horror film today. Can you help me?,"SYSTEM	Yes. Have you seen ""The Babadook (2014)"" ? It's very unique and a bit odd but overall very scary",USER	No I haven't. But I've heard good things about it. That's its very psychological,4,3,5,"SYSTEM	I loved it! Have you seen ""A Tale of Two Sisters (2003)"" I also liked that one. I thought it was super scary And of course, there is ""The Shining  (1980)"" but I'm sure you've seen it","USER	Yes, I've seen ""The Shining  (1980)"" . I wonder why they don't make horror films as suspenseful anymore. Maybe because we're so de-sensitized to everything.","SYSTEM	I don't know. It's very frustrating. The new ones all seem to have little plot I also would recommend ""Hush  (2016)"" .",USER	I agree. They seem to be more about jumps and scares than anything,3,3,3.0,SYSTEM	Have you seen that one?,USER	No I have not Is it good? A good plot i mean,SYSTEM	You should check it out! I thought it had a very indepth plot that moved at a good pace I watched it with my grandfather and he enjoyed it too,USER	I'll definitely take a look. Thanks :),4,3,5
FZ,SYSTEM	Hello! What kind of movie are you looking for?,USER	I'm in the mood for a good horror film today. Can you help me?,"SYSTEM	Yes. Have you seen ""The Babadook (2014)"" ? It's very unique and a bit odd but overall very scary",USER	No I haven't. But I've heard good things about it. That's its very psychological,4,3,5,"SYSTEM	I loved it! Have you seen ""A Tale of Two Sisters (2003)"" I also liked that one. I thought it was super scary And of course, there is ""The Shining  (1980)"" but I'm sure you've seen it","USER	Yes, I've seen ""The Shining  (1980)"" . I wonder why they don't make horror films as suspenseful anymore. Maybe because we're so de-sensitized to everything.","SYSTEM	I don't know. It's very frustrating. The new ones all seem to have little plot I also would recommend ""Hush  (2016)"" .",USER	I agree. They seem to be more about jumps and scares than anything,3,3,3.0,SYSTEM	Have you seen that one?,USER	No I have not Is it good? A good plot i mean,SYSTEM	You should check it out! I thought it had a very indepth plot that moved at a good pace I watched it with my grandfather and he enjoyed it too,USER	I'll definitely take a look. Thanks :),1,2,3
FZ,SYSTEM	Hello! What kind of movie are you looking for?,USER	I'm in the mood for a good horror film today. Can you help me?,"SYSTEM	Yes. Have you seen ""The Babadook (2014)"" ? It's very unique and a bit odd but overall very scary",USER	No I haven't. But I've heard good things about it. That's its very psychological,4,3,5,"SYSTEM	I loved it! Have you seen ""A Tale of Two Sisters (2003)"" I also liked that one. I thought it was super scary And of course, there is ""The Shining  (1980)"" but I'm sure you've seen it","USER	Yes, I've seen ""The Shining  (1980)"" . I wonder why they don't make horror films as suspenseful anymore. Maybe because we're so de-sensitized to everything.","SYSTEM	I don't know. It's very frustrating. The new ones all seem to have little plot I also would recommend ""Hush  (2016)"" .",USER	I agree. They seem to be more about jumps and scares than anything,3,3,3.0,SYSTEM	Have you seen that one?,USER	No I have not Is it good? A good plot i mean,SYSTEM	You should check it out! I thought it had a very indepth plot that moved at a good pace I watched it with my grandfather and he enjoyed it too,USER	I'll definitely take a look. Thanks :),4,3,5
X7,"SYSTEM	Hello, how are you?",USER	I'm looking for some good drama,SYSTEM	Have you seen any recent movies?,"USER	I like ones based on true events, like ""Hidden Figures (2016)""",4,3,4,"SYSTEM	Good drama would be ""The Pianist  (2002)""",USER	I've heard of it but haven't seen it.,"SYSTEM	I have not seen ""Hidden Figures (2016)"" but would like to.","USER	Doesn't have to be true story...I liked ""Dances with Wolves (1990)""",3,2,3.0,"SYSTEM	""The Pianist  (2002)"" is a bit like ""Schindler's List (1993)"" , another good drama.","USER	Oh, that sounds really good!","SYSTEM	""Dances with Wolves (1990)"" is what ""Avatar  (2009)"" was based on, haha. I liked both.","USER	""The Boy in the Striped Pyjamas  (2008)"" was too sad... I think I'll look for ""The Pianist  (2002)"" Thank you for the suggestion.",3,3,4
X7,"SYSTEM	Hello, how are you?",USER	I'm looking for some good drama,SYSTEM	Have you seen any recent movies?,"USER	I like ones based on true events, like ""Hidden Figures (2016)""",1,2,2,"SYSTEM	Good drama would be ""The Pianist  (2002)""",USER	I've heard of it but haven't seen it.,"SYSTEM	I have not seen ""Hidden Figures (2016)"" but would like to.","USER	Doesn't have to be true story...I liked ""Dances with Wolves (1990)""",3,2,2.0,"SYSTEM	""The Pianist  (2002)"" is a bit like ""Schindler's List (1993)"" , another good drama.","USER	Oh, that sounds really good!","SYSTEM	""Dances with Wolves (1990)"" is what ""Avatar  (2009)"" was based on, haha. I liked both.","USER	""The Boy in the Striped Pyjamas  (2008)"" was too sad... I think I'll look for ""The Pianist  (2002)"" Thank you for the suggestion.",3,3,2
X7,"SYSTEM	Hello, how are you?",USER	I'm looking for some good drama,SYSTEM	Have you seen any recent movies?,"USER	I like ones based on true events, like ""Hidden Figures (2016)""",1,2,3,"SYSTEM	Good drama would be ""The Pianist  (2002)""",USER	I've heard of it but haven't seen it.,"SYSTEM	I have not seen ""Hidden Figures (2016)"" but would like to.","USER	Doesn't have to be true story...I liked ""Dances with Wolves (1990)""",3,3,3.0,"SYSTEM	""The Pianist  (2002)"" is a bit like ""Schindler's List (1993)"" , another good drama.","USER	Oh, that sounds really good!","SYSTEM	""Dances with Wolves (1990)"" is what ""Avatar  (2009)"" was based on, haha. I liked both.","USER	""The Boy in the Striped Pyjamas  (2008)"" was too sad... I think I'll look for ""The Pianist  (2002)"" Thank you for the suggestion.",3,3,3
QH,SYSTEM	Hello can I make a movie recommendation? WHat kind do you like?,"USER	I am looking for a horror. Something like ""Mama  (2013)"" or maybe ""Evil Dead  (2013)""","SYSTEM	I will admit I do not enjoy horror films that well but have you ever seen ""The Texas Chainsaw Massacre  (2003)"" I have heard great things about that one",USER	I have seen that one. It's okay. Definitely a classic though.,4,3,4,"SYSTEM	Or maybe something like ""Seed of Chucky (2004)"" People love those movies I prefer suspenseful horrors like the movie ""Hush  (2016)""",USER	Those are good! It was an interesting little series.,SYSTEM	Its a lot less scary,"USER	Oh I do too! ""Hush  (2016)"" was brillant!",1,2,3.0,SYSTEM	You want me to make one last suggestion before we go?,USER	Sure,"SYSTEM	Maybe something like ""Freddy vs. Jason (2003)"" I hear its another classic",USER	I've seen that one and it is! Thank you for your suggetions :D,4,1,4
QH,SYSTEM	Hello can I make a movie recommendation? WHat kind do you like?,"USER	I am looking for a horror. Something like ""Mama  (2013)"" or maybe ""Evil Dead  (2013)""","SYSTEM	I will admit I do not enjoy horror films that well but have you ever seen ""The Texas Chainsaw Massacre  (2003)"" I have heard great things about that one",USER	I have seen that one. It's okay. Definitely a classic though.,4,3,5,"SYSTEM	Or maybe something like ""Seed of Chucky (2004)"" People love those movies I prefer suspenseful horrors like the movie ""Hush  (2016)""",USER	Those are good! It was an interesting little series.,SYSTEM	Its a lot less scary,"USER	Oh I do too! ""Hush  (2016)"" was brillant!",4,2,4.0,SYSTEM	You want me to make one last suggestion before we go?,USER	Sure,"SYSTEM	Maybe something like ""Freddy vs. Jason (2003)"" I hear its another classic",USER	I've seen that one and it is! Thank you for your suggetions :D,4,3,5
QH,SYSTEM	Hello can I make a movie recommendation? WHat kind do you like?,"USER	I am looking for a horror. Something like ""Mama  (2013)"" or maybe ""Evil Dead  (2013)""","SYSTEM	I will admit I do not enjoy horror films that well but have you ever seen ""The Texas Chainsaw Massacre  (2003)"" I have heard great things about that one",USER	I have seen that one. It's okay. Definitely a classic though.,4,3,5,"SYSTEM	Or maybe something like ""Seed of Chucky (2004)"" People love those movies I prefer suspenseful horrors like the movie ""Hush  (2016)""",USER	Those are good! It was an interesting little series.,SYSTEM	Its a lot less scary,"USER	Oh I do too! ""Hush  (2016)"" was brillant!",1,2,4.0,SYSTEM	You want me to make one last suggestion before we go?,USER	Sure,"SYSTEM	Maybe something like ""Freddy vs. Jason (2003)"" I hear its another classic",USER	I've seen that one and it is! Thank you for your suggetions :D,4,3,5
D2,"SYSTEM	Hello, what kind of movies are you looking for?",USER	what are you in the mood for watching tonight you are the seeker not the recommender sir,"SYSTEM	No, it says I'm the recommender",USER	yes sorry,1,1,3,SYSTEM	And I'm a ma'am,USER	I am in the mood for a comedy ma'am :),"SYSTEM	Ok, how about ""Borat (2006)"" with Sascha Baren Cohen","USER	it is a good movie but I already saw it I am in the mood for something like ""Juno (2007)""",4,2,3.0,"SYSTEM	Ok, how about ""Napoleon Dynamite (2004)""",USER	seen it as well :),"SYSTEM	A classic comedy that I like is ""Blazing Saddles (1974)"" with Gene Wilder",USER	oh .. I have not seen that one I love Gene Wilder I wlll check it .. thank you,4,3,5
D2,"SYSTEM	Hello, what kind of movies are you looking for?",USER	what are you in the mood for watching tonight you are the seeker not the recommender sir,"SYSTEM	No, it says I'm the recommender",USER	yes sorry,1,1,3,SYSTEM	And I'm a ma'am,USER	I am in the mood for a comedy ma'am :),"SYSTEM	Ok, how about ""Borat (2006)"" with Sascha Baren Cohen","USER	it is a good movie but I already saw it I am in the mood for something like ""Juno (2007)""",4,1,5.0,"SYSTEM	Ok, how about ""Napoleon Dynamite (2004)""",USER	seen it as well :),"SYSTEM	A classic comedy that I like is ""Blazing Saddles (1974)"" with Gene Wilder",USER	oh .. I have not seen that one I love Gene Wilder I wlll check it .. thank you,4,3,5
D2,"SYSTEM	Hello, what kind of movies are you looking for?",USER	what are you in the mood for watching tonight you are the seeker not the recommender sir,"SYSTEM	No, it says I'm the recommender",USER	yes sorry,1,2,3,SYSTEM	And I'm a ma'am,USER	I am in the mood for a comedy ma'am :),"SYSTEM	Ok, how about ""Borat (2006)"" with Sascha Baren Cohen","USER	it is a good movie but I already saw it I am in the mood for something like ""Juno (2007)""",4,3,5.0,"SYSTEM	Ok, how about ""Napoleon Dynamite (2004)""",USER	seen it as well :),"SYSTEM	A classic comedy that I like is ""Blazing Saddles (1974)"" with Gene Wilder",USER	oh .. I have not seen that one I love Gene Wilder I wlll check it .. thank you,4,3,5
EO,SYSTEM	good morning Nice to met you What kind of movies do you like?,"USER	I'm looking for a good romantic comedy like ""Sleepless in Seattle (1993)"" with Tom Hanks. I also really loved Tom Hanks in ""You've Got Mail (1998)"" that is such a cute movie.","SYSTEM	""Fifty Shades of Grey  (2015)"" Have not seen it but was told it was good.","USER	That sounds like a good one. ""When Harry Met Sally... (1989)"" with Billy Crystal was also a really good movie, Meg Ryan was in that movie as well.",4,3,3,"SYSTEM	I did enjoy ""I Am Michael (2015)"" Har time finding the name on that one. sorry","USER	I've never seen that movie before, is it romantic?","SYSTEM	Yes but sad to, has a eye opening ending.","USER	? oh wow, that sounds really good. I'll watch that tonight.",4,3,4.0,SYSTEM	My pc slow running today,USER	Thanks for your help.,"SYSTEM	""Steel Magnolias  (2012)""",USER	Bye! That sounds like a good movie as well. Thanks for your suggestions. Bye!,4,3,5
EO,SYSTEM	good morning Nice to met you What kind of movies do you like?,"USER	I'm looking for a good romantic comedy like ""Sleepless in Seattle (1993)"" with Tom Hanks. I also really loved Tom Hanks in ""You've Got Mail (1998)"" that is such a cute movie.","SYSTEM	""Fifty Shades of Grey  (2015)"" Have not seen it but was told it was good.","USER	That sounds like a good one. ""When Harry Met Sally... (1989)"" with Billy Crystal was also a really good movie, Meg Ryan was in that movie as well.",4,3,5,"SYSTEM	I did enjoy ""I Am Michael (2015)"" Har time finding the name on that one. sorry","USER	I've never seen that movie before, is it romantic?","SYSTEM	Yes but sad to, has a eye opening ending.","USER	? oh wow, that sounds really good. I'll watch that tonight.",1,2,3.0,SYSTEM	My pc slow running today,USER	Thanks for your help.,"SYSTEM	""Steel Magnolias  (2012)""",USER	Bye! That sounds like a good movie as well. Thanks for your suggestions. Bye!,4,1,5
EO,SYSTEM	good morning Nice to met you What kind of movies do you like?,"USER	I'm looking for a good romantic comedy like ""Sleepless in Seattle (1993)"" with Tom Hanks. I also really loved Tom Hanks in ""You've Got Mail (1998)"" that is such a cute movie.","SYSTEM	""Fifty Shades of Grey  (2015)"" Have not seen it but was told it was good.","USER	That sounds like a good one. ""When Harry Met Sally... (1989)"" with Billy Crystal was also a really good movie, Meg Ryan was in that movie as well.",4,3,5,"SYSTEM	I did enjoy ""I Am Michael (2015)"" Har time finding the name on that one. sorry","USER	I've never seen that movie before, is it romantic?","SYSTEM	Yes but sad to, has a eye opening ending.","USER	? oh wow, that sounds really good. I'll watch that tonight.",1,2,5.0,SYSTEM	My pc slow running today,USER	Thanks for your help.,"SYSTEM	""Steel Magnolias  (2012)""",USER	Bye! That sounds like a good movie as well. Thanks for your suggestions. Bye!,4,1,5
3D,"SYSTEM	I'm good, thanks. What kind are you looking for?",USER	I really like documentaries and action movies do you have any suggestions,"SYSTEM	Ok. A documentary I like is ""Bowling for Columbine (2002)"" about gun violence.","USER	I have seen it .. I really like Michael Moore, he is really able to dissect the american society",4,1,5,"SYSTEM	Yeah he is. An action movie I like is ""War of the Worlds  (2005)"" with Tom Cruise.",USER	no I really do not like big budget action movies with a lot of big bangs ... I have seen the trailer but never watched it,SYSTEM	Oh ok. So you're more into indie films?,USER	you can say that yes foreign movies as well,1,2,4.0,"SYSTEM	""Honest Man: The Life of R. Budd Dwyer (2010)"" is a really good one about a politician that committed suicide on live TV. He was convicted of embezzlement, but was actually innocent.",USER	that sounds really cool I think I will watch that one,"SYSTEM	It's sad, but very interesting. It's on Youtube.","USER	I was more into ""Crouching Tiger, Hidden Dragon (2000)"" kind of action but anyhow .. I gotto go thank you goodbye",1,2,2
3D,"SYSTEM	I'm good, thanks. What kind are you looking for?",USER	I really like documentaries and action movies do you have any suggestions,"SYSTEM	Ok. A documentary I like is ""Bowling for Columbine (2002)"" about gun violence.","USER	I have seen it .. I really like Michael Moore, he is really able to dissect the american society",4,3,5,"SYSTEM	Yeah he is. An action movie I like is ""War of the Worlds  (2005)"" with Tom Cruise.",USER	no I really do not like big budget action movies with a lot of big bangs ... I have seen the trailer but never watched it,SYSTEM	Oh ok. So you're more into indie films?,USER	you can say that yes foreign movies as well,1,2,3.0,"SYSTEM	""Honest Man: The Life of R. Budd Dwyer (2010)"" is a really good one about a politician that committed suicide on live TV. He was convicted of embezzlement, but was actually innocent.",USER	that sounds really cool I think I will watch that one,"SYSTEM	It's sad, but very interesting. It's on Youtube.","USER	I was more into ""Crouching Tiger, Hidden Dragon (2000)"" kind of action but anyhow .. I gotto go thank you goodbye",1,2,3
3D,"SYSTEM	I'm good, thanks. What kind are you looking for?",USER	I really like documentaries and action movies do you have any suggestions,"SYSTEM	Ok. A documentary I like is ""Bowling for Columbine (2002)"" about gun violence.","USER	I have seen it .. I really like Michael Moore, he is really able to dissect the american society",4,1,4,"SYSTEM	Yeah he is. An action movie I like is ""War of the Worlds  (2005)"" with Tom Cruise.",USER	no I really do not like big budget action movies with a lot of big bangs ... I have seen the trailer but never watched it,SYSTEM	Oh ok. So you're more into indie films?,USER	you can say that yes foreign movies as well,1,2,3.0,"SYSTEM	""Honest Man: The Life of R. Budd Dwyer (2010)"" is a really good one about a politician that committed suicide on live TV. He was convicted of embezzlement, but was actually innocent.",USER	that sounds really cool I think I will watch that one,"SYSTEM	It's sad, but very interesting. It's on Youtube.","USER	I was more into ""Crouching Tiger, Hidden Dragon (2000)"" kind of action but anyhow .. I gotto go thank you goodbye",1,2,4
8P,"SYSTEM	Hi, how are you?",USER	Im great what about you,SYSTEM	alright let me find you some choice I'm great. do you have a favorite actor or movie?,"USER	One of my favorite actors is Martin Lawrence, I also like how Adam Sandler acts",1,2,4,"SYSTEM	an old one but a good one is ""Wild Hogs (2007)""","USER	I have seen ""Wild Hogs (2007)"" I like it Its one of my favorites along with ""Click  (2006)""","SYSTEM	If you like animated ""Open Season  (2006)"" was really running and martin did voice overs for the movie","USER	Havent seen that one, I dont like animatec movies",2,3,2.0,"SYSTEM	Also ""Black Knight  (2001)"" was goofy but really funny",USER	That one sounds really good I like his earlyier work so that movie should be great thanks a lot for the suggestion I think that I am all set now,SYSTEM	you are welcome goodbye,USER	have a nice day bye,1,1,4
8P,"SYSTEM	Hi, how are you?",USER	Im great what about you,SYSTEM	alright let me find you some choice I'm great. do you have a favorite actor or movie?,"USER	One of my favorite actors is Martin Lawrence, I also like how Adam Sandler acts",1,2,3,"SYSTEM	an old one but a good one is ""Wild Hogs (2007)""","USER	I have seen ""Wild Hogs (2007)"" I like it Its one of my favorites along with ""Click  (2006)""","SYSTEM	If you like animated ""Open Season  (2006)"" was really running and martin did voice overs for the movie","USER	Havent seen that one, I dont like animatec movies",2,3,1.0,"SYSTEM	Also ""Black Knight  (2001)"" was goofy but really funny",USER	That one sounds really good I like his earlyier work so that movie should be great thanks a lot for the suggestion I think that I am all set now,SYSTEM	you are welcome goodbye,USER	have a nice day bye,1,2,3
8P,"SYSTEM	Hi, how are you?",USER	Im great what about you,SYSTEM	alright let me find you some choice I'm great. do you have a favorite actor or movie?,"USER	One of my favorite actors is Martin Lawrence, I also like how Adam Sandler acts",1,2,3,"SYSTEM	an old one but a good one is ""Wild Hogs (2007)""","USER	I have seen ""Wild Hogs (2007)"" I like it Its one of my favorites along with ""Click  (2006)""","SYSTEM	If you like animated ""Open Season  (2006)"" was really running and martin did voice overs for the movie","USER	Havent seen that one, I dont like animatec movies",2,3,2.0,"SYSTEM	Also ""Black Knight  (2001)"" was goofy but really funny",USER	That one sounds really good I like his earlyier work so that movie should be great thanks a lot for the suggestion I think that I am all set now,SYSTEM	you are welcome goodbye,USER	have a nice day bye,1,2,3
BZ,"SYSTEM	HI, IM FINE What kind of movies do you prefer?","USER	have you seen ""Gold  (2016)"" or ""Old Yeller  (1957)"" i watch anything",SYSTEM	no hahaha,USER	i need a cry thing,1,1,3,"SYSTEM	hahaha ok, ok","USER	really they are great like ""Toy Story 3 (2010)"" and ""Stay  (2013)"" you have to cry during those or your a monster","SYSTEM	hahaha i havent watch none I like thriller movies like ""The Birds  (1963)""",USER	really i recomend getting tissues and watching them that is a amazing movie,4,1,5.0,"SYSTEM	or ""The Circle  (2015)""","USER	another good oneor ""Children of the Corn  (1984)""","SYSTEM	A few days ago I watched ""Friday  (1995)"" and...... oh boy i was dying! LMAO yEAH, i LIKED ""Children of the Corn  (1984)""",USER	well i have togo for a run but this wasnice bye have a great night,3,3,3
BZ,"SYSTEM	HI, IM FINE What kind of movies do you prefer?","USER	have you seen ""Gold  (2016)"" or ""Old Yeller  (1957)"" i watch anything",SYSTEM	no hahaha,USER	i need a cry thing,1,1,3,"SYSTEM	hahaha ok, ok","USER	really they are great like ""Toy Story 3 (2010)"" and ""Stay  (2013)"" you have to cry during those or your a monster","SYSTEM	hahaha i havent watch none I like thriller movies like ""The Birds  (1963)""",USER	really i recomend getting tissues and watching them that is a amazing movie,3,3,3.0,"SYSTEM	or ""The Circle  (2015)""","USER	another good oneor ""Children of the Corn  (1984)""","SYSTEM	A few days ago I watched ""Friday  (1995)"" and...... oh boy i was dying! LMAO yEAH, i LIKED ""Children of the Corn  (1984)""",USER	well i have togo for a run but this wasnice bye have a great night,3,3,3
BZ,"SYSTEM	HI, IM FINE What kind of movies do you prefer?","USER	have you seen ""Gold  (2016)"" or ""Old Yeller  (1957)"" i watch anything",SYSTEM	no hahaha,USER	i need a cry thing,1,1,2,"SYSTEM	hahaha ok, ok","USER	really they are great like ""Toy Story 3 (2010)"" and ""Stay  (2013)"" you have to cry during those or your a monster","SYSTEM	hahaha i havent watch none I like thriller movies like ""The Birds  (1963)""",USER	really i recomend getting tissues and watching them that is a amazing movie,3,3,3.0,"SYSTEM	or ""The Circle  (2015)""","USER	another good oneor ""Children of the Corn  (1984)""","SYSTEM	A few days ago I watched ""Friday  (1995)"" and...... oh boy i was dying! LMAO yEAH, i LIKED ""Children of the Corn  (1984)""",USER	well i have togo for a run but this wasnice bye have a great night,3,3,3
GY,SYSTEM	What movies are you into?,USER	how are u doing,SYSTEM	I'm good thank you,"USER	I like comedy movies have u seen ""Bad Moms (2016)"" it was so dumb what kind of movies do you like? have you seen ""Office Christmas Party (2016)""",1,1,3,SYSTEM	I honestly liked that movie,USER	lol,"SYSTEM	Some comedies maybe you'll enjoy are ""Girls Trip (2017)"" ""Bridesmaids  (2011)"" is another classic comedy with a still cast","USER	are you going to see the new ""Star Wars Kid"" ? yes I have to see ""Girls Trip (2017)""",4,3,5.0,"SYSTEM	""Baby Mama  (2008)"" is another funny one with Tina Fey","USER	lol I love ""Bridesmaids  (2011)""","SYSTEM	I am not going to see that movie, I don't like Star Wars",USER	LOL you are not human!! JK it was so nice to meet you,1,2,3
GY,SYSTEM	What movies are you into?,USER	how are u doing,SYSTEM	I'm good thank you,"USER	I like comedy movies have u seen ""Bad Moms (2016)"" it was so dumb what kind of movies do you like? have you seen ""Office Christmas Party (2016)""",1,2,3,SYSTEM	I honestly liked that movie,USER	lol,"SYSTEM	Some comedies maybe you'll enjoy are ""Girls Trip (2017)"" ""Bridesmaids  (2011)"" is another classic comedy with a still cast","USER	are you going to see the new ""Star Wars Kid"" ? yes I have to see ""Girls Trip (2017)""",4,3,4.0,"SYSTEM	""Baby Mama  (2008)"" is another funny one with Tina Fey","USER	lol I love ""Bridesmaids  (2011)""","SYSTEM	I am not going to see that movie, I don't like Star Wars",USER	LOL you are not human!! JK it was so nice to meet you,1,2,1
GY,SYSTEM	What movies are you into?,USER	how are u doing,SYSTEM	I'm good thank you,"USER	I like comedy movies have u seen ""Bad Moms (2016)"" it was so dumb what kind of movies do you like? have you seen ""Office Christmas Party (2016)""",1,2,3,SYSTEM	I honestly liked that movie,USER	lol,"SYSTEM	Some comedies maybe you'll enjoy are ""Girls Trip (2017)"" ""Bridesmaids  (2011)"" is another classic comedy with a still cast","USER	are you going to see the new ""Star Wars Kid"" ? yes I have to see ""Girls Trip (2017)""",4,3,4.0,"SYSTEM	""Baby Mama  (2008)"" is another funny one with Tina Fey","USER	lol I love ""Bridesmaids  (2011)""","SYSTEM	I am not going to see that movie, I don't like Star Wars",USER	LOL you are not human!! JK it was so nice to meet you,1,2,3
9E,SYSTEM	Sure! But by classic do you mean before the 70s or after?,USER	After,"SYSTEM	Okay, How about ""Indecent Proposal (1993)"" ? Demi Moor and Woodie Harrleson.","USER	No, too risque for me",2,3,2,"SYSTEM	Okay, what about ""Sleepless in Seattle (1993)"" ? Hanks and Ryan?",USER	That's more my speed. It's been a while since I've seen it though.,"SYSTEM	That's okay. Nothing wrong with that. Have you seen ""All the Right Moves  (1983)"" with Tom Cruise?",USER	Sadly I haven't. Is it good?,3,3,4.0,"SYSTEM	Yes. If you liked ""Ferris Bueller's Day Off (1986)"" you'll like this one. And while we're on Cruise, what about ""Days of Thunder (1990)"" ?","USER	No, never seen that either.","SYSTEM	It's a really great film. You'll love it. Kind of like ""Regarding Henry (1991)"" but with race cars.",USER	Sounds good. Well thanks for the suggestions. I'm going to see which ones are on Netflix to watch later today.,4,3,5
9E,SYSTEM	Sure! But by classic do you mean before the 70s or after?,USER	After,"SYSTEM	Okay, How about ""Indecent Proposal (1993)"" ? Demi Moor and Woodie Harrleson.","USER	No, too risque for me",2,1,2,"SYSTEM	Okay, what about ""Sleepless in Seattle (1993)"" ? Hanks and Ryan?",USER	That's more my speed. It's been a while since I've seen it though.,"SYSTEM	That's okay. Nothing wrong with that. Have you seen ""All the Right Moves  (1983)"" with Tom Cruise?",USER	Sadly I haven't. Is it good?,4,3,4.0,"SYSTEM	Yes. If you liked ""Ferris Bueller's Day Off (1986)"" you'll like this one. And while we're on Cruise, what about ""Days of Thunder (1990)"" ?","USER	No, never seen that either.","SYSTEM	It's a really great film. You'll love it. Kind of like ""Regarding Henry (1991)"" but with race cars.",USER	Sounds good. Well thanks for the suggestions. I'm going to see which ones are on Netflix to watch later today.,4,3,5
9E,SYSTEM	Sure! But by classic do you mean before the 70s or after?,USER	After,"SYSTEM	Okay, How about ""Indecent Proposal (1993)"" ? Demi Moor and Woodie Harrleson.","USER	No, too risque for me",2,1,3,"SYSTEM	Okay, what about ""Sleepless in Seattle (1993)"" ? Hanks and Ryan?",USER	That's more my speed. It's been a while since I've seen it though.,"SYSTEM	That's okay. Nothing wrong with that. Have you seen ""All the Right Moves  (1983)"" with Tom Cruise?",USER	Sadly I haven't. Is it good?,4,2,4.0,"SYSTEM	Yes. If you liked ""Ferris Bueller's Day Off (1986)"" you'll like this one. And while we're on Cruise, what about ""Days of Thunder (1990)"" ?","USER	No, never seen that either.","SYSTEM	It's a really great film. You'll love it. Kind of like ""Regarding Henry (1991)"" but with race cars.",USER	Sounds good. Well thanks for the suggestions. I'm going to see which ones are on Netflix to watch later today.,4,3,5
RI,"SYSTEM	Hi there! Did you watch any good movies this weekend? We watched ""Black Snake Moan  (2006)"" We actually have that one Jupiter Ascending! I love it!",USER	I liked that one it was weirder that I expected but not a bad fil,"SYSTEM	Course I live in a house full of ""Star Wars  (1977)"" freaks!","USER	Me too My hubby took me to see ""Star Wars: Episode VIII – The Last Jedi (2017)"" for my birthday",3,2,4,SYSTEM	We had to go to that too. My husband makes a point to see all those movies in 3d - really loud whatever the big one is,USER	yep,"SYSTEM	We camped when ""Star Wars: The Clone Wars  (2008)"" was released That is fun too because everyone dresses up!","USER	I was in line for the last ""Star Trek Beyond (2016)"" I love them both",3,2,3.0,"SYSTEM	YES! I know right? and I kinda hate the whole Star Wars vs Star Trek thing. Like in ""Trekkies  (1997)""",USER	Yeah it's really stupid like a person is suppose to be incapable of liking both at the same time,SYSTEM	That is really true!,USER	Well thanks for the convo have a good night,1,1,3
RI,"SYSTEM	Hi there! Did you watch any good movies this weekend? We watched ""Black Snake Moan  (2006)"" We actually have that one Jupiter Ascending! I love it!",USER	I liked that one it was weirder that I expected but not a bad fil,"SYSTEM	Course I live in a house full of ""Star Wars  (1977)"" freaks!","USER	Me too My hubby took me to see ""Star Wars: Episode VIII – The Last Jedi (2017)"" for my birthday",3,2,3,SYSTEM	We had to go to that too. My husband makes a point to see all those movies in 3d - really loud whatever the big one is,USER	yep,"SYSTEM	We camped when ""Star Wars: The Clone Wars  (2008)"" was released That is fun too because everyone dresses up!","USER	I was in line for the last ""Star Trek Beyond (2016)"" I love them both",4,2,4.0,"SYSTEM	YES! I know right? and I kinda hate the whole Star Wars vs Star Trek thing. Like in ""Trekkies  (1997)""",USER	Yeah it's really stupid like a person is suppose to be incapable of liking both at the same time,SYSTEM	That is really true!,USER	Well thanks for the convo have a good night,3,1,2
